Date : 2024-01-29 07:15:01
Directory : g:\quiz_app_new
Total : 121 files,  4389 codes, 356 comments, 680 blanks, all 5425 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\quiz_app_new\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                      | JSON       |        122 |          0 |          1 |        123 |
| g:\quiz_app_new\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                    | JSON       |         23 |          0 |          1 |         24 |
| g:\quiz_app_new\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                        | Markdown   |          3 |          0 |          2 |          5 |
| g:\quiz_app_new\ios\Runner\Base.lproj\LaunchScreen.storyboard                                    | XML        |         36 |          1 |          1 |         38 |
| g:\quiz_app_new\ios\Runner\Base.lproj\Main.storyboard                                            | XML        |         25 |          1 |          1 |         27 |
| g:\quiz_app_new\ios\Runner\GoogleService-Info.plist                                              | XML        |         30 |          0 |          0 |         30 |
| g:\quiz_app_new\ios\Runner\Info.plist                                                            | XML        |         49 |          0 |          1 |         50 |
| g:\quiz_app_new\ios\Runner\Runner-Bridging-Header.h                                              | C++        |          1 |          0 |          1 |          2 |
| g:\quiz_app_new\ios\firebase_app_id_file.json                                                    | JSON       |          7 |          0 |          0 |          7 |
| g:\quiz_app_new\l10n.yaml                                                                        | YAML       |          3 |          0 |          0 |          3 |
| g:\quiz_app_new\lib\bloc\auth\auth_bloc.dart                                                     | Dart       |        175 |          6 |         16 |        197 |
| g:\quiz_app_new\lib\bloc\auth\auth_event.dart                                                    | Dart       |         12 |          0 |          8 |         20 |
| g:\quiz_app_new\lib\bloc\auth\auth_state.dart                                                    | Dart       |         21 |          0 |         14 |         35 |
| g:\quiz_app_new\lib\bloc\course\course_bloc.dart                                                 | Dart       |         46 |          1 |         13 |         60 |
| g:\quiz_app_new\lib\bloc\course\course_event.dart                                                | Dart       |          6 |          0 |          4 |         10 |
| g:\quiz_app_new\lib\bloc\course\course_state.dart                                                | Dart       |         10 |          0 |          9 |         19 |
| g:\quiz_app_new\lib\bloc\profile\profile_bloc.dart                                               | Dart       |         54 |          0 |         10 |         64 |
| g:\quiz_app_new\lib\bloc\profile\profile_event.dart                                              | Dart       |          9 |          0 |          3 |         12 |
| g:\quiz_app_new\lib\bloc\profile\profile_state.dart                                              | Dart       |         26 |          0 |          9 |         35 |
| g:\quiz_app_new\lib\bloc\quiz\quiz_bloc.dart                                                     | Dart       |         65 |          3 |         15 |         83 |
| g:\quiz_app_new\lib\bloc\quiz\quiz_event.dart                                                    | Dart       |         12 |          0 |          7 |         19 |
| g:\quiz_app_new\lib\bloc\quiz\quiz_state.dart                                                    | Dart       |         21 |          0 |          9 |         30 |
| g:\quiz_app_new\lib\bloc\settings_bloc\bloc\app_settings_bloc.dart                               | Dart       |         55 |          0 |         17 |         72 |
| g:\quiz_app_new\lib\bloc\settings_bloc\bloc\app_settings_event.dart                              | Dart       |          9 |          0 |          6 |         15 |
| g:\quiz_app_new\lib\bloc\settings_bloc\bloc\app_settings_state.dart                              | Dart       |         24 |          0 |          7 |         31 |
| g:\quiz_app_new\lib\bloc\user\user_info_bloc.dart                                                | Dart       |         51 |          1 |          9 |         61 |
| g:\quiz_app_new\lib\bloc\user\user_info_event.dart                                               | Dart       |          4 |          0 |          3 |          7 |
| g:\quiz_app_new\lib\bloc\user\user_info_state.dart                                               | Dart       |         11 |          0 |          9 |         20 |
| g:\quiz_app_new\lib\bloc_observer.dart                                                           | Dart       |         24 |          0 |          4 |         28 |
| g:\quiz_app_new\lib\data\models\app_settings.dart                                                | Dart       |         27 |          0 |          6 |         33 |
| g:\quiz_app_new\lib\data\models\course.dart                                                      | Dart       |         38 |          0 |         10 |         48 |
| g:\quiz_app_new\lib\data\models\course.g.dart                                                    | Dart       |         23 |          4 |          5 |         32 |
| g:\quiz_app_new\lib\data\models\language.dart                                                    | Dart       |         33 |          0 |         10 |         43 |
| g:\quiz_app_new\lib\data\models\lesson.dart                                                      | Dart       |         32 |          0 |          8 |         40 |
| g:\quiz_app_new\lib\data\models\lesson.g.dart                                                    | Dart       |         15 |          4 |          5 |         24 |
| g:\quiz_app_new\lib\data\models\module.dart                                                      | Dart       |         33 |          1 |          6 |         40 |
| g:\quiz_app_new\lib\data\models\module.g.dart                                                    | Dart       |         16 |          4 |          5 |         25 |
| g:\quiz_app_new\lib\data\models\progress.dart                                                    | Dart       |          5 |          2 |          2 |          9 |
| g:\quiz_app_new\lib\data\models\question.dart                                                    | Dart       |         45 |          0 |          9 |         54 |
| g:\quiz_app_new\lib\data\models\question.g.dart                                                  | Dart       |         34 |          4 |          7 |         45 |
| g:\quiz_app_new\lib\data\models\quiz.dart                                                        | Dart       |         52 |          0 |         10 |         62 |
| g:\quiz_app_new\lib\data\models\quiz.g.dart                                                      | Dart       |         29 |          4 |          5 |         38 |
| g:\quiz_app_new\lib\data\models\user_profile.dart                                                | Dart       |         91 |          0 |         13 |        104 |
| g:\quiz_app_new\lib\data\models\user_profile.g.dart                                              | Dart       |         28 |          4 |          7 |         39 |
| g:\quiz_app_new\lib\data\repositories\question_repo.dart                                         | Dart       |         22 |          0 |          4 |         26 |
| g:\quiz_app_new\lib\data\repositories\storage_repo.dart                                          | Dart       |         21 |          0 |          3 |         24 |
| g:\quiz_app_new\lib\firebase_options.dart                                                        | Dart       |         64 |         12 |          6 |         82 |
| g:\quiz_app_new\lib\main.dart                                                                    | Dart       |         68 |          0 |          5 |         73 |
| g:\quiz_app_new\lib\ui\common.dart                                                               | Dart       |          3 |          0 |          2 |          5 |
| g:\quiz_app_new\lib\ui\screens\add_edit_course.dart                                              | Dart       |         65 |          2 |          4 |         71 |
| g:\quiz_app_new\lib\ui\screens\home.dart                                                         | Dart       |         87 |          2 |          3 |         92 |
| g:\quiz_app_new\lib\ui\screens\login_page.dart                                                   | Dart       |        117 |          2 |          3 |        122 |
| g:\quiz_app_new\lib\ui\screens\profile_screen.dart                                               | Dart       |         78 |          1 |          4 |         83 |
| g:\quiz_app_new\lib\ui\screens\quiz\quiz_screen.dart                                             | Dart       |          0 |          0 |          1 |          1 |
| g:\quiz_app_new\lib\ui\screens\quiz\quiz_view.dart                                               | Dart       |         39 |          1 |          3 |         43 |
| g:\quiz_app_new\lib\ui\screens\quiz\results_screen.dart                                          | Dart       |          0 |          0 |          1 |          1 |
| g:\quiz_app_new\lib\ui\screens\register_page.dart                                                | Dart       |        174 |          8 |          4 |        186 |
| g:\quiz_app_new\lib\ui\screens\settings.dart                                                     | Dart       |         30 |          0 |          4 |         34 |
| g:\quiz_app_new\lib\ui\screens\user_type.dart                                                    | Dart       |         62 |          1 |          4 |         67 |
| g:\quiz_app_new\lib\ui\widgets\CommonTextField.dart                                              | Dart       |         40 |          0 |          4 |         44 |
| g:\quiz_app_new\lib\ui\widgets\common_button.dart                                                | Dart       |         21 |          0 |          4 |         25 |
| g:\quiz_app_new\lib\ui\widgets\custom_image.dart                                                 | Dart       |         40 |          0 |          4 |         44 |
| g:\quiz_app_new\lib\ui\widgets\language_dropdown_button.dart                                     | Dart       |         48 |          0 |          5 |         53 |
| g:\quiz_app_new\lib\ui\widgets\login_form_text_field.dart                                        | Dart       |         60 |          1 |          4 |         65 |
| g:\quiz_app_new\lib\ui\widgets\user_type_dropdown_button.dart                                    | Dart       |         46 |          0 |          5 |         51 |
| g:\quiz_app_new\lib\utils\color_schemes.g.dart                                                   | Dart       |         67 |          0 |          3 |         70 |
| g:\quiz_app_new\lib\utils\common_functions.dart                                                  | Dart       |         83 |          5 |         18 |        106 |
| g:\quiz_app_new\lib\utils\constants.dart                                                         | Dart       |          3 |          0 |          2 |          5 |
| g:\quiz_app_new\lib\utils\routes.dart                                                            | Dart       |         83 |          1 |          6 |         90 |
| g:\quiz_app_new\lib\utils\typography.dart                                                        | Dart       |         83 |          0 |          1 |         84 |
| g:\quiz_app_new\linux\flutter\generated_plugin_registrant.cc                                     | C++        |          3 |          4 |          5 |         12 |
| g:\quiz_app_new\linux\flutter\generated_plugin_registrant.h                                      | C++        |          5 |          5 |          6 |         16 |
| g:\quiz_app_new\linux\main.cc                                                                    | C++        |          5 |          0 |          2 |          7 |
| g:\quiz_app_new\linux\my_application.cc                                                          | C++        |         74 |         11 |         20 |        105 |
| g:\quiz_app_new\linux\my_application.h                                                           | C++        |          7 |          7 |          5 |         19 |
| g:\quiz_app_new\macos\Flutter\GeneratedPluginRegistrant.swift                                    | Swift      |         20 |          3 |          4 |         27 |
| g:\quiz_app_new\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist | XML        |          8 |          0 |          1 |          9 |
| g:\quiz_app_new\macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                   | XML        |          8 |          0 |          1 |          9 |
| g:\quiz_app_new\macos\RunnerTests\RunnerTests.swift                                              | Swift      |          7 |          2 |          4 |         13 |
| g:\quiz_app_new\macos\Runner\AppDelegate.swift                                                   | Swift      |          8 |          0 |          2 |         10 |
| g:\quiz_app_new\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                    | JSON       |         68 |          0 |          1 |         69 |
| g:\quiz_app_new\macos\Runner\Base.lproj\MainMenu.xib                                             | XML        |        343 |          0 |          1 |        344 |
| g:\quiz_app_new\macos\Runner\GoogleService-Info.plist                                            | XML        |         30 |          0 |          0 |         30 |
| g:\quiz_app_new\macos\Runner\Info.plist                                                          | XML        |         32 |          0 |          1 |         33 |
| g:\quiz_app_new\macos\Runner\MainFlutterWindow.swift                                             | Swift      |         12 |          0 |          4 |         16 |
| g:\quiz_app_new\macos\firebase_app_id_file.json                                                  | JSON       |          7 |          0 |          0 |          7 |
| g:\quiz_app_new\pubspec.yaml                                                                     | YAML       |         44 |         53 |         14 |        111 |
| g:\quiz_app_new\test\widget_test.dart                                                            | Dart       |         15 |         10 |          7 |         32 |
| g:\quiz_app_new\web\index.html                                                                   | HTML       |         38 |         16 |          6 |         60 |
| g:\quiz_app_new\web\manifest.json                                                                | JSON       |         35 |          0 |          1 |         36 |
| g:\quiz_app_new\windows\flutter\generated_plugin_registrant.cc                                   | C++        |         15 |          4 |          5 |         24 |
| g:\quiz_app_new\windows\flutter\generated_plugin_registrant.h                                    | C++        |          5 |          5 |          6 |         16 |
| g:\quiz_app_new\windows\runner\flutter_window.cpp                                                | C++        |         49 |          7 |         16 |         72 |
| g:\quiz_app_new\windows\runner\flutter_window.h                                                  | C++        |         20 |          5 |          9 |         34 |
| g:\quiz_app_new\windows\runner\main.cpp                                                          | C++        |         30 |          4 |         10 |         44 |
| g:\quiz_app_new\windows\runner\resource.h                                                        | C++        |          9 |          6 |          2 |         17 |
| g:\quiz_app_new\windows\runner\utils.cpp                                                         | C++        |         54 |          2 |         10 |         66 |
| g:\quiz_app_new\windows\runner\utils.h                                                           | C++        |          8 |          6 |          6 |         20 |
| g:\quiz_app_new\windows\runner\win32_window.cpp                                                  | C++        |        210 |         24 |         55 |        289 |
| g:\quiz_app_new\windows\runner\win32_window.h                                                    | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                            |            |      4,389 |        356 |        680 |      5,425 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
